52	 80		 GM	Vokhidov, Shamsiddin	 2540	 2	 1 - 0	 2	 FM	Degenbaev, Aziz	 2227		 166
53	 155		 IM	Ansat, Aldiyar	 2338	 2	 0 - 1	 2	 GM	Theodorou, Nikolas	 2535		 83
54	 165		 IM	Bai, Adelard	 2232	 2	 1 - 0	 2	 GM	Moroni, Luca Jr	 2525		 87
55	 170		 IM	Banh Gia, Huy	 2203	 2	 ½ - ½	 2	 GM	Ghaem Maghami, Ehsan	 2522		 89
56	 178		 FM	Smirnov, Mark	 2045	 2	 ½ - ½	 2	 GM	Corrales Jimenez, Fidel	 2516		 92
57	 12		 GM	Xiong, Jeffery	 2714	 1.5	 ½ - ½	 1.5	 GM	Le Tuan, Minh	 2492		 105
58	 110		 IM	Lou, Yiping	 2471	 1.5	 0 - 1	 1.5	 GM	Oparin, Grigoriy	 2655		 23
59	 28		 GM	Salem, A.R. Saleh	 2647	 1.5	 ½ - ½	 1.5	 GM	Christiansen, Johan-Sebastian	 2468		 111
60	 60		 GM	Chanda, Sandipan	 2585	 1.5	 0 - 1	 1.5	 GM	Zarnicki, Pablo	 2460		 115
61	 129		 IM	Druska, Juraj	 2433	 1.5	 ½ - ½	 1.5	 GM	Hovhannisyan, Robert	 2575		 63
62	 139		 GM	Karthik, Venkataraman	 2411	 1.5	 0 - 1	 1.5	 GM	Paravyan, David	 2562		 67
63	 74		 GM	Dardha, Daniel	 2554	 1.5	 1 - 0	 1.5	 GM	Rasulov, Vugar	 2456		 118
64	 76		 GM	Moradiabadi, Elshan	 2552	 1.5	 0 - 1	 1.5	 GM	Lodici, Lorenzo	 2450		 122
65	 78		 GM	Aravindh, Chithambaram Vr.	 2546	 1.5	 ½ - ½	 1.5	 IM	Samadov, Read	 2434		 128
66	 82		 GM	Dlugy, Maxim	 2538	 1.5	 0 - 1	 1.5	 GM	Zhalmakhanov, Ramazan	 2423		 134
67	 91		 GM	Liang, Awonder	 2519	 1.5	 1 - 0	 1.5	 IM	Saraci, Nderim	 2419		 136
68	 93		 GM	Harsha, Bharathakoti	 2516	 1.5	 1 - 0	 1.5	 IM	Rosen, Eric	 2325		 156
69	 95		 GM	Kadric, Denis	 2513	 1.5	 ½ - ½	 1.5	 GM	Suleymenov, Alisher	 2413		 138
70	 103		 GM	Zemlyanskii, Ivan	 2495	 1.5	 1 - 0	 1.5	 IM	George, Kevin	 2212		 168
71	 167		 IM	Kvaloy, Aksel Bu	 2226	 1.5	 0 - 1	 1.5	 GM	Amar, Elham	 2494		 104
72	 153		 IM	Gaehwiler, Gabriel	 2353	 1.5	 0 - 1	 1	 GM	van Foreest, Jorden	 2651		 26
73	 133		 GM	Blohberger, Felix	 2423	 1	 0 - 1	 1	 GM	Barbosa, Oliver	 2610		 47
74	 72		 GM	Kevlishvili, Robby	 2558	 1	 1 - 0	 1	 IM	Urazayev, Arystanbek	 2423		 135
75	 137		 FM	Papasimakopoulos, Alexandros	 2417	 1	 1 - 0	 1	 GM	Andersen, Mads	 2512		 96
76	 97		 GM	Erenburg, Sergey	 2510	 1	 0 - 1	 1	 IM	Sardana, Rishi	 2409		 141
77	 149		 IM	Damjanovic, Vuk	 2375	 1	 ½ - ½	 1	 GM	Benjamin, Joel	 2473		 108
78	 109		 GM	Dragnev, Valentin	 2473	 1	 ½ - ½	 1	 IM	Thavandiran, Shiyam	 2405		 145
79	 114		 GM	Gagunashvili, Merab	 2460	 1	 0 - 1	 1	 IM	Oro, Faustino	 2404		 146
80	 117		 GM	Madaminov, Mukhiddin	 2456	 1	 1 - 0	 1	 IM	Juksta, Karolis	 2309		 157
81	 119		 GM	Wagner, Dennis	 2456	 1	 1 - 0	 1	 FM	Larrea, Manuel	 2254		 163
82	 177		 FM	Esquivel Golcher, Luis Enrique	 2073	 1	 0 - 1	 1	 GM	Matviishen, Viktor	 2436		 126
83	 127		 GM	Batsuren, Dambasuren	 2435	 1	 1 - 0	 1	 	Ahmed, Nidal	 1827		 179
84	 64		 GM	Bezold, Michael	 2574	 0.5	 1 - 0	 0.5	 FM	Grahn, Vidar	 2206		 169
85	 171		 IM	Manon, Reja Neer	 2193	 0.5	 1 - 0	 0.5	 GM	Horvath, Dominik	 2430		 130
86	 161		 IM	Schnaider, Ilan	 2285	 0.5	 1 - 0	 0.5	 IM	Makoto, Rodwell	 2407		 142
87	 147		 GM	Hungaski, Robert	 2402	 0.5	 1 - 0	 0.5	 CM	Pereira, Fabian	 2148		 174
88	 176		 CM	Meylan, Andre	 2083	 0	 ½ - ½	 0	 GM	Gretarsson, Helgi Ass	 2392		 148
89	 164		 CM	Sharshenbekov, Emir	 2243	 0	 0 - 1	 0	 FM	Soo, Kai Jie	 2112		 175
90	 180		 	Wong, Hayoung	 1704	 0	 1 - 0	 0	 FM	Wanyama, Harold	 2191		 172
