52	 165		 IM	Bai, Adelard	 2232	 5.5	 0-1	 5.5	 GM	Zemlyanskii, Ivan	 2495		 103
53	 160		 GM	Ohanyan, Emin	 2295	 5.5	 1-0	 5	 GM	Onischuk, Alexander	 2668		 21
54	 127		 GM	Batsuren, Dambasuren	 2435	 5	 0-1	 5	 GM	Petrosian, Tigran L.	 2601		 51
55	 60		 GM	Chanda, Sandipan	 2585	 5	 1-0	 5	 GM	Blohberger, Felix	 2423		 133
56	 138		 GM	Suleymenov, Alisher	 2413	 5	 1/2-1/2	 5	 GM	Donchenko, Alexander	 2578		 61
57	 173		 IM	Hardaway, Brewington	 2181	 5	 1-0	 5	 GM	Bezold, Michael	 2574		 64
58	 76		 GM	Moradiabadi, Elshan	 2552	 5	 1-0	 5	 IM	Thavandiran, Shiyam	 2405		 145
59	 77		 GM	Suleymanli, Aydin	 2549	 5	 1-0	 5	 GM	Hungaski, Robert	 2402		 147
60	 115		 GM	Zarnicki, Pablo	 2460	 5	 1/2-1/2	 5	 GM	Gretarsson, Helgi Ass	 2392		 148
61	 154		 IM	Manafov, Vugar	 2349	 5	 0-1	 5	 GM	Madaminov, Mukhiddin	 2456		 117
62	 178		 FM	Smirnov, Mark	 2045	 5	 0-1	 5	 GM	Dudin, Gleb	 2436		 125
63	 141		 IM	Sardana, Rishi	 2409	 4.5	 1-0	 4.5	 GM	Sarana, Alexey	 2654		 25
64	 150		 IM	Macovei, Andrei	 2375	 4.5	 0-1	 4.5	 GM	Kevlishvili, Robby	 2558		 72
65	 144		 IM	Gan-Erdene, Sugar	 2405	 4.5	 1-0	 4.5	 GM	Woodward, Andy	 2530		 85
66	 157		 IM	Juksta, Karolis	 2309	 4.5	 0-1	 4.5	 GM	Kobalia, Mikhail	 2522		 90
67	 159		 IM	Amartuvshin, Ganzorig	 2298	 4.5	 1-0	 4.5	 IM	Lou, Yiping	 2471		 110
68	 111		 GM	Christiansen, Johan-Sebastian	 2468	 4.5	 1-0	 4.5	 IM	Mamedov, Edgar	 2356		 152
69	 164		 CM	Sharshenbekov, Emir	 2243	 4.5	 0-1	 4.5	 GM	Gagunashvili, Merab	 2460		 114
70	 167		 IM	Kvaloy, Aksel Bu	 2226	 4.5	 0-1	 4.5	 GM	Rasulov, Vugar	 2456		 118
