55	 145		 IM	Thavandiran, Shiyam	 2405	 0	 0-1	 0	 GM	Bok, Benjamin	 2596		 55
56	 56		 GM	Antipov, Mikhail Al.	 2591	 0	 1-0	 0	 IM	Oro, Faustino	 2404		 146
57	 147		 GM	Hungaski, Robert	 2402	 0	 1/2-1/2	 0	 GM	Pichot, Alan	 2591		 57
58	 58		 GM	Sadhwani, Raunak	 2591	 0	 1-0	 0	 GM	Gretarsson, Helgi Ass	 2392		 148
59	 149		 IM	Damjanovic, Vuk	 2375	 0	 0-1	 0	 GM	Murzin, Volodar	 2588		 59
60	 60		 GM	Chanda, Sandipan	 2585	 0	 0-1	 0	 IM	Macovei, Andrei	 2375		 150
61	 151		 IM	Can, Isik	 2371	 0	 0-1	 0	 GM	Donchenko, Alexander	 2578		 61
62	 62		 GM	Shimanov, Aleksandr	 2578	 0	 0-1	 0	 IM	Mamedov, Edgar	 2356		 152
63	 153		 IM	Gaehwiler, Gabriel	 2353	 0	 1-0	 0	 GM	Hovhannisyan, Robert	 2575		 63
64	 64		 GM	Bezold, Michael	 2574	 0	 0-1	 0	 IM	Manafov, Vugar	 2349		 154
65	 155		 IM	Ansat, Aldiyar	 2338	 0	 1-0	 0	 GM	Bu, Xiangzhi	 2569		 65
66	 66		 GM	Volokitin, Andrei	 2569	 0	 1-0	 0	 IM	Rosen, Eric	 2325		 156
67	 157		 IM	Juksta, Karolis	 2309	 0	 1/2-1/2	 0	 GM	Paravyan, David	 2562		 67
68	 68		 GM	Rakhmanov, Aleksandr	 2561	 0	 0-1	 0	 IM	Chasin, Nico	 2300		 158
69	 159		 IM	Amartuvshin, Ganzorig	 2298	 0	 1-0	 0	 GM	Hong, Andrew	 2560		 69
70	 70		 GM	Lomasov, Semyon	 2560	 0	 1/2-1/2	 0	 GM	Ohanyan, Emin	 2295		 160
71	 161		 IM	Schnaider, Ilan	 2285	 0	 0-1	 0	 GM	Tari, Aryan	 2559		 71
72	 72		 GM	Kevlishvili, Robby	 2558	 0	 0-1	 0	 FM	Adewumi, Tanitoluwa	 2262		 162
73	 163		 FM	Larrea, Manuel	 2254	 0	 0-1	 0	 GM	Ibarra Jerez, Jose Carlos	 2555		 73
74	 74		 GM	Dardha, Daniel	 2554	 0	 1-0	 0	 CM	Sharshenbekov, Emir	 2243		 164
75	 165		 IM	Bai, Adelard	 2232	 0	 1/2-1/2	 0	 GM	Lazavik, Denis	 2553		 75
76	 76		 GM	Moradiabadi, Elshan	 2552	 0	 1-0	 0	 FM	Degenbaev, Aziz	 2227		 166
77	 167		 IM	Kvaloy, Aksel Bu	 2226	 0	 1/2-1/2	 0	 GM	Suleymanli, Aydin	 2549		 77
78	 78		 GM	Aravindh, Chithambaram Vr.	 2546	 0	 1-0	 0	 IM	George, Kevin	 2212		 168
79	 169		 FM	Grahn, Vidar	 2206	 0	 0-1	 0	 GM	Bologan, Victor	 2540		 79
80	 80		 GM	Vokhidov, Shamsiddin	 2540	 0	 1-0	 0	 IM	Banh Gia, Huy	 2203		 170
81	 171		 IM	Manon, Reja Neer	 2193	 0	 0-1	 0	 GM	Nesterov, Arseniy	 2539		 81
82	 82		 GM	Dlugy, Maxim	 2538	 0	 1-0	 0	 FM	Wanyama, Harold	 2191		 172
83	 173		 IM	Hardaway, Brewington	 2181	 0	 1/2-1/2	 0	 GM	Theodorou, Nikolas	 2535		 83
84	 84		 GM	Durarbayli, Vasif	 2531	 0	 1-0	 0	 CM	Pereira, Fabian	 2148		 174
85	 175		 FM	Soo, Kai Jie	 2112	 0	 0-1	 0	 GM	Woodward, Andy	 2530		 85
86	 86		 GM	Nogerbek, Kazybek	 2526	 0	 1-0	 0	 CM	Meylan, Andre	 2083		 176
87	 177		 FM	Esquivel Golcher, Luis Enrique	 2073	 0	 0-1	 0	 GM	Moroni, Luca Jr	 2525		 87
88	 88		 GM	Bjerre, Jonas Buhl	 2524	 0	 0-1	 0	 FM	Smirnov, Mark	 2045		 178
89	 179		 	Ahmed, Nidal	 1827	 0	 0-1	 0	 GM	Ghaem Maghami, Ehsan	 2522		 89
90	 90		 GM	Kobalia, Mikhail	 2522	 0	 1-0	 0	 	Wong, Hayoung	 1704		 180
