52	 92		 GM	Corrales Jimenez, Fidel	 2516	 3.5	 0 - 1	 3.5	 IM	Bai, Adelard	 2232		 165
53	 115		 GM	Zarnicki, Pablo	 2460	 3.5	 ½ - ½	 3.5	 GM	Harsha, Bharathakoti	 2516		 93
54	 21		 GM	Onischuk, Alexander	 2668	 3	 1 - 0	 3.5	 FM	Smirnov, Mark	 2045		 178
55	 23		 GM	Oparin, Grigoriy	 2655	 3	 1 - 0	 3	 GM	Madaminov, Mukhiddin	 2456		 117
56	 128		 IM	Samadov, Read	 2434	 3	 0 - 1	 3	 GM	Salem, A.R. Saleh	 2647		 28
57	 125		 GM	Dudin, Gleb	 2436	 3	 0 - 1	 3	 GM	Safarli, Eltaj	 2611		 46
58	 47		 GM	Barbosa, Oliver	 2610	 3	 1 - 0	 3	 IM	Druska, Juraj	 2433		 129
59	 53		 GM	Fressinet, Laurent	 2598	 3	 ½ - ½	 3	 GM	Batsuren, Dambasuren	 2435		 127
60	 63		 GM	Hovhannisyan, Robert	 2575	 3	 1 - 0	 3	 IM	Saraci, Nderim	 2419		 136
61	 132		 GM	Tang, Andrew	 2425	 3	 ½ - ½	 3	 GM	Bezold, Michael	 2574		 64
62	 141		 IM	Sardana, Rishi	 2409	 3	 ½ - ½	 3	 GM	Moradiabadi, Elshan	 2552		 76
63	 79		 GM	Bologan, Victor	 2540	 3	 0 - 1	 3	 GM	Suleymenov, Alisher	 2413		 138
64	 80		 GM	Vokhidov, Shamsiddin	 2540	 3	 0 - 1	 3	 IM	Oro, Faustino	 2404		 146
65	 173		 IM	Hardaway, Brewington	 2181	 3	 1 - 0	 3	 GM	Kobalia, Mikhail	 2522		 90
66	 96		 GM	Andersen, Mads	 2512	 3	 ½ - ½	 3	 IM	Schnaider, Ilan	 2285		 161
67	 108		 GM	Benjamin, Joel	 2473	 3	 0 - 1	 3	 IM	Ansat, Aldiyar	 2338		 155
68	 159		 IM	Amartuvshin, Ganzorig	 2298	 3	 1 - 0	 2.5	 GM	Indjic, Aleksandar	 2598		 54
69	 133		 GM	Blohberger, Felix	 2423	 2.5	 ½ - ½	 2.5	 GM	Kevlishvili, Robby	 2558		 72
70	 135		 IM	Urazayev, Arystanbek	 2423	 2.5	 ½ - ½	 2.5	 GM	Dlugy, Maxim	 2538		 82
71	 104		 GM	Amar, Elham	 2494	 2.5	 1 - 0	 2.5	 GM	Kacharava, Nikolozi	 2405		 143
