52	 75		 GM	Lazavik, Denis	 2553	 0.5	 1 - 0	 0.5	 IM	Kvaloy, Aksel Bu	 2226		 167
53	 77		 GM	Suleymanli, Aydin	 2549	 0.5	 0 - 1	 0.5	 IM	Hardaway, Brewington	 2181		 173
54	 83		 GM	Theodorou, Nikolas	 2535	 0.5	 0 - 1	 0.5	 IM	Bai, Adelard	 2232		 165
55	 160		 GM	Ohanyan, Emin	 2295	 0.5	 ½ - ½	 0	 GM	Xiong, Jeffery	 2714		 12
56	 126		 GM	Matviishen, Viktor	 2436	 0	 1 - 0	 0	 GM	Le, Quang Liem	 2657		 22
57	 128		 IM	Samadov, Read	 2434	 0	 1 - 0	 0	 GM	van Foreest, Jorden	 2651		 26
58	 31		 GM	Esipenko, Andrey	 2642	 0	 1 - 0	 0	 GM	Batsuren, Dambasuren	 2435		 127
59	 35		 GM	Anton Guijarro, David	 2635	 0	 1 - 0	 0	 IM	Druska, Juraj	 2433		 129
60	 47		 GM	Barbosa, Oliver	 2610	 0	 0 - 1	 0	 IM	Isanzhulov, Arystan	 2427		 131
61	 132		 GM	Tang, Andrew	 2425	 0	 0 - 1	 0	 GM	Akobian, Varuzhan	 2604		 50
62	 134		 GM	Zhalmakhanov, Ramazan	 2423	 0	 1 - 0	 0	 GM	Chanda, Sandipan	 2585		 60
63	 136		 IM	Saraci, Nderim	 2419	 0	 0 - 1	 0	 GM	Shimanov, Aleksandr	 2578		 62
64	 63		 GM	Hovhannisyan, Robert	 2575	 0	 ½ - ½	 0	 GM	Blohberger, Felix	 2423		 133
65	 138		 GM	Suleymenov, Alisher	 2413	 0	 1 - 0	 0	 GM	Bezold, Michael	 2574		 64
66	 65		 GM	Bu, Xiangzhi	 2569	 0	 1 - 0	 0	 IM	Urazayev, Arystanbek	 2423		 135
67	 142		 IM	Makoto, Rodwell	 2407	 0	 0 - 1	 0	 GM	Rakhmanov, Aleksandr	 2561		 68
68	 69		 GM	Hong, Andrew	 2560	 0	 1 - 0	 0	 IM	Sardana, Rishi	 2409		 141
69	 144		 IM	Gan-Erdene, Sugar	 2405	 0	 1 - 0	 0	 GM	Kevlishvili, Robby	 2558		 72
70	 146		 IM	Oro, Faustino	 2404	 0	 0 - 1	 0	 GM	Bjerre, Jonas Buhl	 2524		 88
71	 92		 GM	Corrales Jimenez, Fidel	 2516	 0	 1 - 0	 0	 IM	Thavandiran, Shiyam	 2405		 145
72	 148		 GM	Gretarsson, Helgi Ass	 2392	 0	 0 - 1	 0	 GM	Harsha, Bharathakoti	 2516		 93
73	 94		 GM	Hakobyan, Aram	 2513	 0	 1 - 0	 0	 IM	Damjanovic, Vuk	 2375		 149
74	 96		 GM	Andersen, Mads	 2512	 0	 0 - 1	 0	 IM	Can, Isik	 2371		 151
75	 156		 IM	Rosen, Eric	 2325	 0	 1 - 0	 0	 GM	Erenburg, Sergey	 2510		 97
76	 164		 CM	Sharshenbekov, Emir	 2243	 0	 0 - 1	 0	 GM	Chirila, Ioan-Cristian	 2500		 99
77	 104		 GM	Amar, Elham	 2494	 0	 1 - 0	 0	 IM	Schnaider, Ilan	 2285		 161
78	 166		 FM	Degenbaev, Aziz	 2227	 0	 0 - 1	 0	 GM	Le Tuan, Minh	 2492		 105
79	 106		 GM	Brodsky, David	 2491	 0	 1 - 0	 0	 FM	Larrea, Manuel	 2254		 163
80	 168		 IM	George, Kevin	 2212	 0	 ½ - ½	 0	 GM	Khanin, Semen	 2484		 107
