52	 71		 GM	Tari, Aryan	 2559	 4	 1 - 0	 4	 GM	Ohanyan, Emin	 2295		 160
53	 114		 GM	Gagunashvili, Merab	 2460	 3.5	 ½ - ½	 3.5	 GM	Petrosian, Tigran L.	 2601		 51
54	 122		 GM	Lodici, Lorenzo	 2450	 3.5	 1 - 0	 3.5	 GM	Fressinet, Laurent	 2598		 53
55	 127		 GM	Batsuren, Dambasuren	 2435	 3.5	 0 - 1	 3.5	 GM	Bok, Benjamin	 2596		 55
56	 64		 GM	Bezold, Michael	 2574	 3.5	 ½ - ½	 3.5	 IM	Tsaruk, Maksim	 2437		 124
57	 76		 GM	Moradiabadi, Elshan	 2552	 3.5	 1 - 0	 3.5	 GM	Matviishen, Viktor	 2436		 126
58	 149		 IM	Damjanovic, Vuk	 2375	 3.5	 1 - 0	 3.5	 GM	Ghaem Maghami, Ehsan	 2522		 89
59	 152		 IM	Mamedov, Edgar	 2356	 3.5	 1 - 0	 3.5	 GM	Corrales Jimenez, Fidel	 2516		 92
60	 94		 GM	Hakobyan, Aram	 2513	 3.5	 ½ - ½	 3.5	 GM	Tang, Andrew	 2425		 132
61	 95		 GM	Kadric, Denis	 2513	 3.5	 1 - 0	 3.5	 GM	Zhalmakhanov, Ramazan	 2423		 134
62	 162		 FM	Adewumi, Tanitoluwa	 2262	 3.5	 1 - 0	 3.5	 GM	Andersen, Mads	 2512		 96
63	 161		 IM	Schnaider, Ilan	 2285	 3.5	 0 - 1	 3.5	 GM	Zemlyanskii, Ivan	 2495		 103
64	 170		 IM	Banh Gia, Huy	 2203	 3.5	 0 - 1	 3.5	 GM	Amar, Elham	 2494		 104
65	 106		 GM	Brodsky, David	 2491	 3.5	 ½ - ½	 3.5	 IM	Sardana, Rishi	 2409		 141
66	 110		 IM	Lou, Yiping	 2471	 3.5	 ½ - ½	 3.5	 FM	Smirnov, Mark	 2045		 178
67	 72		 GM	Kevlishvili, Robby	 2558	 3	 ½ - ½	 3	 GM	Rasulov, Vugar	 2456		 118
68	 125		 GM	Dudin, Gleb	 2436	 3	 1 - 0	 3	 GM	Bologan, Victor	 2540		 79
69	 129		 IM	Druska, Juraj	 2433	 3	 0 - 1	 3	 GM	Vokhidov, Shamsiddin	 2540		 80
70	 82		 GM	Dlugy, Maxim	 2538	 3	 0 - 1	 3	 IM	Samadov, Read	 2434		 128
71	 90		 GM	Kobalia, Mikhail	 2522	 3	 ½ - ½	 3	 GM	Blohberger, Felix	 2423		 133
72	 97		 GM	Erenburg, Sergey	 2510	 3	 ½ - ½	 3	 IM	Urazayev, Arystanbek	 2423		 135
73	 136		 IM	Saraci, Nderim	 2419	 3	 ½ - ½	 3	 GM	Benjamin, Joel	 2473		 108
74	 109		 GM	Dragnev, Valentin	 2473	 3	 0 - 1	 3	 GM	Escobar Forero, Alder	 2409		 140
75	 117		 GM	Madaminov, Mukhiddin	 2456	 3	 1 - 0	 3	 IM	Macovei, Andrei	 2375		 150
76	 111		 GM	Christiansen, Johan-Sebastian	 2468	 2.5	 0 - 1	 3	 CM	Sharshenbekov, Emir	 2243		 164
77	 54		 GM	Indjic, Aleksandar	 2598	 2.5	 1 - 0	 2.5	 IM	Rosen, Eric	 2325		 156
78	 147		 GM	Hungaski, Robert	 2402	 2.5	 ½ - ½	 2.5	 GM	Chanda, Sandipan	 2585		 60
79	 148		 GM	Gretarsson, Helgi Ass	 2392	 2.5	 ½ - ½	 2.5	 IM	Bilych, Oleksii	 2450		 123
80	 166		 FM	Degenbaev, Aziz	 2227	 2.5	 ½ - ½	 2.5	 GM	Horvath, Dominik	 2430		 130
81	 137		 FM	Papasimakopoulos, Alexandros	 2417	 2.5	 0 - 1	 2.5	 IM	Juksta, Karolis	 2309		 157
82	 143		 GM	Kacharava, Nikolozi	 2405	 2.5	 1 - 0	 2.5	 IM	George, Kevin	 2212		 168
83	 153		 IM	Gaehwiler, Gabriel	 2353	 2.5	 ½ - ½	 2.5	 IM	Thavandiran, Shiyam	 2405		 145
84	 119		 GM	Wagner, Dennis	 2456	 2	 0 - 1	 2.5	 IM	Manon, Reja Neer	 2193		 171
85	 175		 FM	Soo, Kai Jie	 2112	 2	 0 - 1	 2	 IM	Kvaloy, Aksel Bu	 2226		 167
86	 172		 FM	Wanyama, Harold	 2191	 2	 1 - 0	 2	 FM	Esquivel Golcher, Luis Enrique	 2073		 177
87	 180		 	Wong, Hayoung	 1704	 2	 0 - 1	 1.5	 IM	Makoto, Rodwell	 2407		 142
88	 174		 CM	Pereira, Fabian	 2148	 1.5	 ½ - ½	 1.5	 CM	Meylan, Andre	 2083		 176
89	 179		 	Ahmed, Nidal	 1827	 1	 0 - 1	 1	 FM	Larrea, Manuel	 2254		 163
