52	 81		 GM	Nesterov, Arseniy	 2539	 1.5	 1 - 0	 1.5	 GM	Karthik, Venkataraman	 2411		 139
53	 160		 GM	Ohanyan, Emin	 2295	 1.5	 1 - 0	 1.5	 GM	Kadric, Denis	 2513		 95
54	 98		 GM	Jumabayev, Rinat	 2503	 1.5	 ½ - ½	 1.5	 IM	Isanzhulov, Arystan	 2427		 131
55	 22		 GM	Le, Quang Liem	 2657	 1	 1 - 0	 1.5	 IM	Kvaloy, Aksel Bu	 2226		 167
56	 120		 GM	Ghosh, Diptayan	 2455	 1	 1 - 0	 1	 GM	van Foreest, Jorden	 2651		 26
57	 126		 GM	Matviishen, Viktor	 2436	 1	 0 - 1	 1	 GM	Indjic, Aleksandar	 2598		 54
58	 128		 IM	Samadov, Read	 2434	 1	 ½ - ½	 1	 GM	Chanda, Sandipan	 2585		 60
59	 132		 GM	Tang, Andrew	 2425	 1	 1 - 0	 1	 GM	Kevlishvili, Robby	 2558		 72
60	 73		 GM	Ibarra Jerez, Jose Carlos	 2555	 1	 1 - 0	 1	 GM	Wagner, Dennis	 2456		 119
61	 134		 GM	Zhalmakhanov, Ramazan	 2423	 1	 ½ - ½	 1	 GM	Dardha, Daniel	 2554		 74
62	 77		 GM	Suleymanli, Aydin	 2549	 1	 1 - 0	 1	 GM	Batsuren, Dambasuren	 2435		 127
63	 79		 GM	Bologan, Victor	 2540	 1	 1 - 0	 1	 GM	Blohberger, Felix	 2423		 133
64	 136		 IM	Saraci, Nderim	 2419	 1	 ½ - ½	 1	 GM	Dlugy, Maxim	 2538		 82
65	 83		 GM	Theodorou, Nikolas	 2535	 1	 1 - 0	 1	 IM	Urazayev, Arystanbek	 2423		 135
66	 89		 GM	Ghaem Maghami, Ehsan	 2522	 1	 1 - 0	 1	 FM	Papasimakopoulos, Alexandros	 2417		 137
67	 138		 GM	Suleymenov, Alisher	 2413	 1	 ½ - ½	 1	 GM	Harsha, Bharathakoti	 2516		 93
68	 94		 GM	Hakobyan, Aram	 2513	 1	 1 - 0	 1	 IM	Sardana, Rishi	 2409		 141
69	 96		 GM	Andersen, Mads	 2512	 1	 0 - 1	 1	 GM	Kacharava, Nikolozi	 2405		 143
70	 154		 IM	Manafov, Vugar	 2349	 1	 1 - 0	 1	 GM	Erenburg, Sergey	 2510		 97
71	 102		 GM	Grebnev, Aleksey	 2496	 1	 1 - 0	 1	 IM	Damjanovic, Vuk	 2375		 149
72	 104		 GM	Amar, Elham	 2494	 1	 ½ - ½	 1	 IM	Gaehwiler, Gabriel	 2353		 153
